channel_id,channel_name,channel_created_at,country,description_len,subscriber_count,total_view_count,total_video_count,uploads_playlist_id,channel_category,note,channel_age_years,subscriber_tier,avg_views_per_video,video_count_dataset,total_views_dataset,avg_views_per_video_dataset,median_views_per_video,avg_engagement_rate,short_form_count,viral_count,commercial_count,first_video_date,last_video_date,short_form_ratio
UCBhgBmuPFbLLxnejr09lnAQ,HOA BAN FOOD,2013-01-29 15:45:18.000000,VN,307,3000000,1367427890,945,UUBhgBmuPFbLLxnejr09lnAQ,Vlog,HOA BAN FOOD,13.26,Large,1447014.0,600,625542313,1042570.5216666666,779492.0,0.012940278333333333,102,0,1,2018-01-05 06:55:25,2026-05-05 04:22:40,0.17
UCabsTV34JwALXKGMqHpvUiA,VTV24,2016-02-17 07:33:02.000000,VN,429,6900000,5749427333,56701,UUabsTV34JwALXKGMqHpvUiA,News,VTV24,10.22,Large,101399.0,600,17612038,29353.396666666667,11499.0,0.006757393333333334,186,0,2,2026-04-14 05:00:15,2026-05-07 08:00:50,0.31
UCIg56SgvoZF8Qg0Jx_gh6Pg,ANTV - Truyền hình Công an Nhân dân,2015-06-04 03:07:19.000000,VN,756,8140000,4617000575,92427,UUIg56SgvoZF8Qg0Jx_gh6Pg,News,ANTV,10.92,Large,49953.0,600,2785560,4642.6,1052.5,0.00777702,304,0,0,2026-04-25 23:30:16,2026-05-07 07:00:36,0.5067
UCIW9cGgoRuGJnky3K3tbzNg,Báo Thanh Niên,2016-04-08 04:47:52.000000,VN,524,6320000,6450137337,79978,UUIW9cGgoRuGJnky3K3tbzNg,News,Báo Thanh Niên,10.08,Large,80649.0,600,10813849,18023.081666666665,8321.5,0.008597269491525424,118,0,1,2026-04-22 05:30:06,2026-05-07 08:19:54,0.1967
UCbq8aOyj9ZtIqcD-0MwG1fQ,HTV Entertainment,2014-08-01 18:36:41.000000,VN,130,7020000,2604452975,19803,UUbq8aOyj9ZtIqcD-0MwG1fQ,News,HTV Entertainment,11.76,Large,131518.0,600,5286521,8810.868333333334,1476.0,0.007840263333333333,283,0,0,2026-01-22 03:00:36,2026-05-07 02:00:35,0.4717
UCUmRGR3a-g13O6pG927KQmg,Tin24h,2019-09-05 07:52:44.000000,VN,678,5720000,1497213699,41867,UUUmRGR3a-g13O6pG927KQmg,News,Tin24h,6.67,Large,35761.0,600,17631086,29385.143333333333,18184.5,0.004552528333333333,215,0,0,2026-03-26 01:00:06,2026-05-07 05:16:06,0.3583
UC47WI-kZXFf0H_f7pvaNCEQ,Báo Tuổi Trẻ,2017-07-07 07:16:01.000000,VN,464,3170000,4401096722,70487,UU47WI-kZXFf0H_f7pvaNCEQ,News,Báo Tuổi Trẻ,8.83,Large,62438.0,600,23710620,39517.7,17755.5,0.00638448,503,0,0,2026-04-15 10:01:02,2026-05-07 08:00:31,0.8383
UClYUCB6tyZl50_7OcbgUHCA,VẤN ĐỀ HÔM NAY,2013-10-15 03:47:37.000000,VN,264,3600000,3129199055,38917,UUlYUCB6tyZl50_7OcbgUHCA,News,VẤN ĐỀ HÔM NAY,12.56,Large,80407.0,600,20124999,33541.665,19334.0,0.03649747666666667,20,0,0,2026-04-16 10:51:10,2026-05-07 07:15:07,0.0333
UCf6gW1swSLhhsSQaOGNcM5w,VFacts,2018-07-03 17:50:10.000000,VN,50,1550000,53801228,400,UUf6gW1swSLhhsSQaOGNcM5w,Education,VFacts,7.84,Large,134503.0,401,53839673,134263.52369077306,99712.0,0.0214520075,1,0,0,2018-07-20 17:29:48,2026-05-06 11:40:26,0.0025
UCRsd_L7wBGdHLhfacuy3QVw,Spiderum,2016-03-25 18:05:52.000000,VN,299,1180000,314441359,3135,UURsd_L7wBGdHLhfacuy3QVw,Education,Spiderum,10.11,Large,100300.0,600,40235078,67058.46333333333,26373.5,0.01587481,214,0,0,2025-05-14 11:00:48,2026-05-07 05:15:02,0.3567
UCYUxXTReKV5jh2-YKQ5k72g,THẦY LIÊM,2011-03-23 09:22:03.000000,VN,509,1390000,416049822,14626,UUYUxXTReKV5jh2-YKQ5k72g,Education,THẦY LIÊM,15.12,Large,28446.0,600,2721123,4535.205,2424.0,0.012461068333333334,0,0,0,2025-10-14 12:45:06,2026-05-06 12:25:06,0.0
UCvclE98tzIK1SiIp8vYa2ew,THẦY QUANG,2014-11-06 05:05:47.000000,VN,999,1770000,304336122,10196,UUvclE98tzIK1SiIp8vYa2ew,Education,THẦY QUANG,11.5,Large,29849.0,600,568904,948.1733333333333,348.0,0.024172095,38,0,0,2025-06-25 12:15:06,2026-05-06 13:00:06,0.0633
UC8h--mX9QLj7oXUPevacblQ,CHÂN DUNG LỊCH SỬ,2017-01-30 18:31:34.000000,VN,972,686000,287440404,2850,UU8h--mX9QLj7oXUPevacblQ,Education,CHÂN DUNG LỊCH SỬ,9.26,Mid,100856.0,600,15667126,26111.876666666667,3612.0,0.009700881469115193,142,0,0,2024-05-29 10:33:33,2026-05-07 04:46:28,0.2367
UC2fYM0Crqi_6nsdzR9e3EnA,VietJack Tiểu học & THCS,2020-12-29 09:29:11.011157,VN,537,1010000,286386330,21066,UU2fYM0Crqi_6nsdzR9e3EnA,Education,VietJack Tiểu học & THCS,5.35,Large,13595.0,600,294257,490.42833333333334,195.5,0.007221999999999999,19,0,0,2026-02-12 01:24:09,2026-05-06 12:00:51,0.0317
UCORwVnph7TK6rmyKozkV8_g,Vietcetera,2016-04-03 06:45:20.000000,VN,477,964000,205296711,2703,UUORwVnph7TK6rmyKozkV8_g,Education,Vietcetera,10.09,Mid,75951.0,600,20732104,34553.50666666667,11387.0,0.018466636666666664,473,0,0,2025-01-31 13:00:06,2026-05-06 13:00:36,0.7883
UC9xeuekJd88ku9LDcmGdUOA,Kplus Sports,2019-08-15 04:49:59.000000,VN,153,3260000,2993930005,15838,UU9xeuekJd88ku9LDcmGdUOA,Sports,Kplus Sports,6.73,Large,189035.0,600,174749660,291249.43333333335,45302.0,0.007199810000000001,332,0,0,2025-08-15 20:15:21,2026-01-01 01:01:14,0.5533
UCrXy3yI0blu7JC5O84_eggg,Cộng đồng cầu lông Việt Nam - VN Badminton,2019-06-13 01:14:08.000000,VN,763,993000,1671583712,4853,UUrXy3yI0blu7JC5O84_eggg,Sports,Cộng đồng cầu lông Việt Nam - VN Badminton,6.9,Mid,344443.0,600,112946961,188244.935,49528.5,0.012558546666666667,436,0,11,2025-12-06 14:01:32,2026-05-07 04:30:40,0.7267
UCljFFNaQoJWeP91Bz4m_3bw,FPT Bóng Đá Việt,2021-05-31 08:51:44.923703,VN,595,2770000,1433935839,13152,UUljFFNaQoJWeP91Bz4m_3bw,Sports,FPT Bóng Đá Việt,4.93,Large,109028.0,600,34086635,56811.058333333334,14317.5,0.0,260,0,19,2026-03-15 11:39:41,2026-05-07 08:00:38,0.4333
UCFF85Rdo1MqYCFxfmByBOdw,Đỗ Kim Phúc - Freestyle Football,2016-10-27 09:13:04.000000,VN,821,2730000,1252936967,1462,UUFF85Rdo1MqYCFxfmByBOdw,Sports,Đỗ Kim Phúc - Freestyle Football,9.52,Large,857002.0,600,448584793,747641.3216666667,219331.0,0.008873477462437395,271,0,0,2022-03-29 13:12:21,2026-05-06 10:29:24,0.4517
UC4LvrpNXujjbGOS4RDvr41g,FPT Bóng Đá,2017-12-18 03:31:54.000000,VN,443,1700000,1218582375,7577,UU4LvrpNXujjbGOS4RDvr41g,Sports,FPT Bóng Đá,8.38,Large,160826.0,600,79265715,132109.525,34951.5,0.007042433333333333,407,0,0,2026-02-23 01:00:20,2026-05-07 04:30:36,0.6783
UCyIOLARJsMYFbQ-7-P-4DIA,Vlog Minh Hải,2009-08-23 04:14:26.000000,VN,887,1300000,843773464,5015,UUyIOLARJsMYFbQ-7-P-4DIA,Sports,Vlog Minh Hải,16.7,Large,168250.0,600,65523027,109205.045,94051.0,0.039682543333333334,9,0,0,2025-05-04 16:13:18,2026-05-06 13:52:21,0.015
UCQqSJr6WYH0Bq7mrlFhzWDw,BLV Anh Quân,2016-05-23 13:06:23.000000,VN,313,1440000,810941583,6351,UUQqSJr6WYH0Bq7mrlFhzWDw,Sports,BLV Anh Quân,9.95,Large,127687.0,600,43326979,72211.63166666667,61250.5,0.009219165,0,0,0,2025-10-31 02:52:45,2026-05-07 03:23:33,0.0
